Outdoor Temperature,Outdoor Relative Humidity,Wind Direction,Wind Speed,GHR,DNR,AC Setpoint,Indoor Temperature,Energy Consumption
18.4225,47.8115,120.226,1.259833333,90,563,18,18.06920026,0.158335021
20.17516667,44.2605,168.628,0.716666667,103,689,18,18.00103142,0.185028245
19.93916667,48.88833333,326.8691667,0.906166667,105,723,18,17.99981586,0.207102731
20.303,52.77,278.4111667,0.8115,100,777,18,17.99968719,0.219575495
20.34466667,54.46283333,320.2708333,1.207666667,101,703,18,17.99965168,0.226246771
20.73816667,54.317,204.2661667,0.868,104,540,18,17.9996014,0.222785308
20.31416667,55.51433333,261.4356667,0.935,80,389,18,17.99949293,0.212017198
19.72383333,57.6125,270.766,0.818833333,33,156,18,18.00020945,0.194880906
19.039,60.3785,256.1248333,0.5985,4,0,18,18.00096347,0.169847709
18.976,53.636,127.161,0.996666667,95,383,18,18.1300772,0.179518376
19.96,51.31466667,109.8755,1.122833333,118,363,18,18.00368624,0.196548833
19.856,56.85316667,256.3751667,1.512333333,143,303,18,17.99922819,0.205909994
19.5125,61.89683333,185.382,1.610333333,138,394,18,17.99916494,0.211529128
19.62333333,61.82766667,233.6145,1.756666667,125,406,18,17.99961255,0.212462557
19.69666667,62.83033333,242.6448333,1.626333333,112,365,18,17.99896283,0.212342745
19.8745,61.36433333,268.219,1.494666667,71,276,18,17.99787091,0.209370044
19.54666667,62.72616667,252.7823333,1.3085,26,89,18,17.9985552,0.214859179
19.01783333,65.20466667,263.4183333,0.9655,4,0,18,18.00050377,0.195028188
18.49316667,63.73466667,120.7885,1.655333333,113,310,18,18.11849335,0.170282448
19.20233333,64.4095,125.7016667,1.248833333,129,425,18,18.00291468,0.195704977
20.009,64.67683333,187.7883333,0.683666667,156,404,18,17.99924137,0.206372349
19.91416667,66.54966667,167.4986667,1.801166667,159,404,18,17.99747617,0.22109737
19.36333333,73.37366667,202.5241667,0.582,147,447,18,17.99695021,0.228088313
20.11966667,67.10783333,248.4285,1.092333333,127,394,18,17.99577256,0.228725302
20.00566667,70.211,210.5741667,0.786,80,311,18,17.99654803,0.220117901
19.26033333,73.41566667,190.4223333,0.805166667,33,140,18,17.99703945,0.207383371
19.05166667,70.00166667,146.666,0.647833333,5,0,18,17.99870809,0.212281454
19.43566667,57.55816667,142.0838333,1.804166667,105,438,18,18.0805033,0.176249205
20.0115,61.2685,137.2531667,1.546166667,112,616,18,17.99965735,0.201796627
20.16433333,62.42,137.3648333,2.401,133,600,18,17.99904563,0.218117001
20.03016667,60.85533333,194.9336667,1.416,156,466,18,17.99700522,0.232081121
18.942,70.6405,194.3698333,1.584833333,137,434,18,17.99610202,0.233050681
18.58516667,76.617,156.6558333,1.048333333,106,444,18,17.99550874,0.230810322
18.904,70.40566667,131.4938333,0.934166667,78,343,18,17.99654503,0.221236843
18.56616667,64.64333333,112.592,2.006,36,124,18,17.998624,0.207293957
